"LOJA","NM_LOJA","DT_ESTOQUE","MES_ESTOQUE","ANO_ESTOQUE","SKU","SKU_DESC","TOP_ABASTECIMENTO","UNIDADE_MEDIDA","QUANTIDADE_ESTOQUE"
1,"Interlagos","2020-08-26",8,2020,90527276000000,"PIS LAM PRIM VAL N9 135,7X21,7X0,7M2",2,"M2",183.51
1,"Interlagos","2020-08-26",8,2020,14714497200000,"Lixeira Plástico 4L c/ tampa preta",1,"UN",2.18
2,"Ribeirão Preto","2020-08-26",8,2020,14971414350000,"Port Shamp Simples Reto Suc Piatina Sens",1,"UN",0.19
2,"Ribeirão Preto","2020-08-26",8,2020,14971649400000,"VITRO CORR GREEN QUAD 120X100 R12",2,"UN",0
2,"Ribeirão Preto","2020-08-26",8,2020,14946094500000,"ROLO P/metal e madeira  C/C 11CM",1,"UN",2.29
2,"Ribeirão Preto","2020-08-26",8,2020,90229566000000,"Lavad Alta Pressão  4100 220v",2,"UN",6.67
2,"Ribeirão Preto","2020-08-26",8,2020,14921414140100,"Conj 2 inter simp br Lille",1,"UN",1.02
3,"Campinas D. Pedro","2020-08-26",8,2020,14143933960000,"LAMP FLUOR 3U 15W BR 220V OUROLUX",2,"UN",2.66
3,"Campinas D. Pedro","2020-08-26",8,2020,14999917500000,"CAD C/4 CHAV IGUAIS 25MM LT CR 2UN PADO",1,"UN",1.4
3,"Campinas D. Pedro","2020-08-26",8,2020,90363616000000,"Bota de PVC Com Forro PRA N41 Marluvas",1,"UN",3.64
3,"Campinas D. Pedro","2020-08-26",8,2020,90423102000000,"camp elet s/fio s/bateria Intelbras",1,"UN",0.65
3,"Campinas D. Pedro","2020-08-26",8,2020,14946643300000,"CHUV ELETRON FIT BLIND 220V 6500W BR-HY",1,"UN",5.18
4,"Contagem","2020-08-26",8,2020,14997140630000,"Enchimento p/ capa de almofada 45cmX45cm",1,"UN",1.36
4,"Contagem","2020-08-26",8,2020,14979394200000,"TELHA FIBROC ONDUL 5mm 1,83x1,1m  CONFIB",1,"UN",68.95
7,"Rio Norte","2020-08-26",8,2020,14957332300000,"Kit Tempera Que Eu Gosto",2,"UN",2.68
7,"Rio Norte","2020-08-26",8,2020,90757170000000,"Organizador de Pia Plast Cz Single",1,"UN",10.69
7,"Rio Norte","2020-08-26",8,2020,90117006000000,"Jogo Bits PH2 25mm 10pcs Dexter",1,"UN",7.34
519,,"2020-08-26",8,2020,14923390000000,"REV BRI BOL EXT 20X20 AZ NAVAL M2",0,"M2",1.76
9,"Curitiba","2020-08-26",8,2020,14953464100000,"Gab Banh Sevilha L60xP40 Barrique/Br",1,"UN",9.72
9,"Curitiba","2020-08-26",8,2020,14923393500000,"REV EXT BRI PISC ELIANE BR 20X20 M2",2,"M2",1.36
9,"Curitiba","2020-08-26",8,2020,14143993141000,"CABO FLEXIVEL 2,5MM2 50M VM Lexman",1,"UN",4.5
9,"Curitiba","2020-08-26",8,2020,14935679200000,"Lavatorio Vidro Guadalajara L80xP54 Sen",2,"UN",38.42
9,"Curitiba","2020-08-26",8,2020,14903107500000,"Chuv Elet 127V 5500W Star-Hydra",1,"UN",1.32
9,"Curitiba","2020-08-26",8,2020,14901475930000,"Porta Lille AL/Vid Reflecta F40/70",0,"UN",4.73
9,"Curitiba","2020-08-26",8,2020,90036324000000,"Porta Toalha Rosto Met/Cr Quaddro Sensea",1,"UN",35.3
9,"Curitiba","2020-08-26",8,2020,90161575000000,"REV AC RET INT 58,4X58,4 SIMETRIA MRB M2",2,"M2",0.52
11,"Rio Barra","2020-08-26",8,2020,14957414630000,"REV EXT ACET PISC PRIS ESMERALD 30X30 M2",1,"M2",156.1
11,"Rio Barra","2020-08-26",8,2020,14763149145000,"Mod tom 2p+t 10a mf Decor",2,"UN",63.34
12,"Morumbi","2020-08-26",8,2020,14742351100000,"Fech ext perfil estreito 120940-z inox",1,"UN",0.85
12,"Morumbi","2020-08-26",8,2020,14595367200000,"Corante liq.globo 50ml xadrez violeta",1,"UN",0.96
13,"Brasilia Sul","2020-08-26",8,2020,14914407230000,"Organizador Multiuso c/div M 4,8x27x12cm",1,"UN",0.34
13,"Brasilia Sul","2020-08-26",8,2020,14953741300000,"Arm C/Prat A173xL45xP32cm Br Remix",2,"UN",1.21
13,"Brasilia Sul","2020-08-26",8,2020,14943629100000,"REV BR BOLD INT 10X20 METRO BLACK M2",2,"M2",7.26
13,"Brasilia Sul","2020-08-26",8,2020,14975217300000,"Extensao p/torn rosca 14cm cr-fani",1,"UN",15.2
13,"Brasilia Sul","2020-08-26",8,2020,90275214300000,"PLAINA DE METAL N4, 58X245MM MTX",1,"UN",2.93
15,"São José Campos","2020-08-26",8,2020,14914041450000,"GERADOR TG1200CXH 1000W 6L 220V",0,"UN",4.14
15,"São José Campos","2020-08-26",8,2020,14944625200000,"Monoc lav bb dax-r cascata cr-paini",2,"UN",2.59
17,"Bangu","2020-08-26",8,2020,14142650930000,"Telha poli ond 1,22 x 0,50 - atco",1,"UN",14.79
18,"Goiania","2020-08-26",8,2020,14145212230000,"Mod tom 2p+t 20a verm Blanc",2,"UN",22.21
