"LOJA","NM_LOJA","DT_VENDA","MES_VENDA","ANO_VENDA","SKU","SKU_DESC","CLIENTE","CEP","VENDA"
1,"Interlagos","2020-01-13",1,2020,14706014060000,"LIXA MADEIR-MASSA 225X275 GRÃO 150 BOSCH","147551479XXXXXXXXXXX",5734150,0.37
1,"Interlagos","2020-01-04",1,2020,14960363300000,"Cabideiro de porta 7 ganchos metal br","147551479XXXXXXXXXXX",5734150,4.59
1,"Interlagos","2020-01-06",1,2020,14999514150000,"PORC ES AC RET INT61,1X61,1 61917 M2 ART","932279XXXXXXXXXXXXXX",4431160,271.05
1,"Interlagos","2020-01-18",1,2020,14936149440000,"CIMENTO CPII 32 TODAS AS OBRA 50KG VOT","1425752214XXXXXXXXXX",4805350,12.120000000000001
2,"Ribeirão Preto","2020-01-27",1,2020,14144674350000,"Sensor presenca spot 180 br exatron","142X93375XXXXXXXXXXX",14093210,-15.71
2,"Ribeirão Preto","2020-01-18",1,2020,14140395460000,"REJ BRANCO 5KG CIMENT AREA SECA ARGATEX","143643656XXXXXXXXXXX",14110000,20.07
3,"Campinas D. Pedro","2020-01-24",1,2020,14676462200000,"ARG ACI INT CINZA 20KG VOT","52147334XXXXXXXXXXXX",13083350,0.55
3,"Campinas D. Pedro","2020-01-14",1,2020,14797101460000,"ARG PORCELANATO INT CINZA 20KG VOT","49147X9XXXXXXXXXXXXX",7914070,12.53
4,"Contagem","2020-01-18",1,2020,14929621400000,"ARG ACII CINZA 20KG AXTON","2X32649XXXXXXXXXXXXX",32671674,5.46
4,"Contagem","2020-01-11",1,2020,14914454410000,"RODAPE 100MM ESTILO BCO MAX C/FRISO","3542X27XXXXXXXXXXXXX",32041470,59.13
5,"Raposo Tavares","2020-01-23",1,2020,14577147210000,"Valv lav lg s/l vvl216 cr-esteves","67X7977XXXXXXXXXXXXX",5503000,7.14
5,"Raposo Tavares","2020-01-18",1,2020,14991106600000,"PISO AC INT 43X43 4008 M2","14327999XXXXXXXXXXXX",6853420,60.21
11,"Rio Barra","2020-01-23",1,2020,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","1445271455XXXXXXXXXX",22631051,22.41
11,"Rio Barra","2020-01-13",1,2020,14901444010000,"ARG PISO/PISO INT/EXT BCO 20KG VOT","4337X9XXXXXXXXXXXXXX",21660190,47.39
12,"Morumbi","2020-01-17",1,2020,90114510200000,"ARG PORC INT/EXT BCO 20K AXTON","144472675XXXXXXXXXXX",4533050,29.98
13,"Brasilia Sul","2020-01-19",1,2020,14931142145000,"Gatilho ducha higienica 18105br-sensea","7714X79XXXXXXXXXXXXX",70350711,6.25
15,"São José Campos","2020-01-10",1,2020,14523541600000,"Vaso Sanit Conv Ravena Creme Deca","144447955XXXXXXXXXXX",12245000,59.71
16,"Ricardo Jafet","2020-01-18",1,2020,14513373400000,"Esm. sint. coralit bril 3,6l branco","144475777XXXXXXXXXXX",4269001,9.15
18,"Goiania","2020-01-09",1,2020,14914144725000,"Closet 2prat1cabcarv 180X70X45,5 Platin","14444914914XXXXXXXXX",74810100,9.79
19,"Porto Alegre","2020-01-20",1,2020,14143761434000,"PISO BR INT 51,5X51,5 CANELA M2","1422X73XXXXXXXXXXXXX",90690300,8.91
21,"Niteroi","2020-01-23",1,2020,14995341600000,"Sapateira 2portas br 97,8x53x37cm amer","24314235XXXXXXXXXXXX",24755205,49.57
22,"Anhanguera","2020-01-11",1,2020,14930774300000,"PORC POL RET INT 62,5X62,5 BIANCO MST M2","144442264XXXXXXXXXXX",39800700,42.4
22,"Anhanguera","2020-01-26",1,2020,14142099260000,"Mini varal standard plast c/14pregadores","6X7X772XXXXXXXXXXXXX",13059604,0.91
22,"Anhanguera","2020-01-28",1,2020,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","1433142229XXXXXXXXXX",13185672,113.67
22,"Anhanguera","2020-01-04",1,2020,14910145146000,"Respirador CG 431 PFF 2","7252229XXXXXXXXXXXXX",81520590,0.74
22,"Anhanguera","2020-01-29",1,2020,14594914920000,"Cano marrom 3m 32mm ou 1-tigre","14352275XXXXXXXXXXXX",13049479,54.37
33,"Londrina","2020-01-28",1,2020,90394731000000,"TODAS OBRAS VOTORAN 25KG","92714X147XXXXXXXXXXX",86035195,1.71
34,"São José do Rio Preto","2020-01-28",1,2020,14997771300000,"PISO BR INT 43X43 VSP004 M2","1445722XXXXXXXXXXXXX",15040210,27.67
34,"São José do Rio Preto","2020-01-14",1,2020,14999402300000,"PISO AC EXT 54X54 CA14514 M2","357XXXXXXXXXXXXXXXXX",15047422,120.06
